transaction_id,user_id,amount,currency_from,currency_to,rate,created_at,fee_amount
70,8,5025.78,EUR,CHF,0.956511,2023-04-25 02:36:33,25.71
71,206,3941.99,GBP,USD,1.271212,2023-04-26 13:36:47,19.41
72,141,12290.69,CAD,JPY,110.947705,2023-04-27 02:00:27,60.53
73,197,18071.05,CAD,CHF,0.646767,2023-04-27 06:30:46,103.43
74,32,3475.03,USD,GBP,0.781209,2023-04-28 14:28:12,18.41
75,63,15216.15,USD,NOK,10.684067,2023-04-28 17:44:52,65.84
76,96,3469.41,PLN,EUR,0.230095,2023-04-30 15:09:35,18.64
77,57,169050.17,NOK,CHF,0.082096,2023-05-03 03:32:54,807.27
78,223,45318.66,PLN,USD,0.249742,2023-05-03 03:37:39,239.22
79,72,5510.93,EUR,SEK,11.313113,2023-05-08 19:17:05,29.41
80,228,40552.45,NOK,AUD,0.141474,2023-05-09 17:01:33,229.29
81,218,109683.85,SEK,EUR,0.087807,2023-05-10 23:08:12,592.82
82,271,1062154.13,JPY,NOK,0.071273,2023-05-12 12:53:20,5938.01
83,186,13366.02,CAD,JPY,111.425462,2023-05-12 15:41:00,72.06
84,3,12053.02,CAD,EUR,0.683196,2023-05-14 08:14:56,64.09
85,291,15962.05,USD,CHF,0.872613,2023-05-15 15:44:21,73.97
86,21,5613.06,CHF,CAD,1.542946,2023-05-15 23:10:12,32.21
87,202,6973.98,CHF,AUD,1.714169,2023-05-16 12:44:40,33.36
88,116,101352.95,NOK,GBP,0.073721,2023-05-16 17:30:52,532.09
89,112,38894.15,PLN,AUD,0.377684,2023-05-16 21:58:15,167.98
90,107,12801.78,EUR,CAD,1.468623,2023-05-17 04:18:35,71.42
91,159,797458.73,JPY,EUR,0.006088,2023-05-17 11:23:49,3620.72
92,184,7521.75,NOK,PLN,0.371021,2023-05-18 22:52:09,36.79
93,28,2434.44,CAD,EUR,0.678986,2023-05-20 21:36:26,12.13
94,171,10468.04,GBP,SEK,13.191305,2023-05-21 03:05:40,49.68
95,148,6616.35,EUR,USD,1.082018,2023-05-21 18:02:38,36.4
96,277,150700.72,NOK,EUR,0.086268,2023-05-24 20:18:51,649.61
97,92,1212.46,GBP,PLN,5.094835,2023-05-26 03:15:48,6.69
98,120,18516.99,AUD,NOK,7.109137,2023-05-26 09:43:29,89.13
99,88,113084.48,SEK,USD,0.095691,2023-05-27 18:39:09,554.08
100,109,5099.72,EUR,CAD,1.472084,2023-05-27 21:13:34,24.13
101,71,25412.46,AUD,SEK,6.895165,2023-05-28 07:46:01,111.14
102,63,9715.03,GBP,NOK,13.513326,2023-05-28 23:16:09,54.3
103,206,18398.17,AUD,CAD,0.899729,2023-05-30 11:03:34,91.55
104,6,10868.84,EUR,SEK,11.391598,2023-05-30 11:33:59,61.34
105,264,4296.34,CHF,CAD,1.543422,2023-05-31 02:17:29,23.65
106,22,5734.97,EUR,GBP,0.856128,2023-05-31 06:23:20,30.54
107,262,7499.85,PLN,JPY,37.554685,2023-06-01 06:21:20,42.07
108,77,10728.51,AUD,PLN,2.666937,2023-06-02 16:31:24,57.68
109,104,12029.1,GBP,EUR,1.167469,2023-06-02 21:07:48,57.92
110,149,1946392.11,JPY,USD,0.006624,2023-06-03 20:57:55,10425.14
111,8,10855.37,EUR,SEK,11.317979,2023-06-04 09:43:46,53.83
112,139,8644.98,AUD,CAD,0.900385,2023-06-04 13:44:32,46.56
113,261,1656.25,EUR,NOK,11.65311,2023-06-06 00:35:58,7.22
114,248,70051.82,SEK,USD,0.095737,2023-06-06 03:16:09,337.21
115,342,8556.58,USD,GBP,0.780938,2023-06-06 07:47:14,42.81
116,241,9961.86,CHF,CAD,1.555917,2023-06-06 14:01:06,56.3
117,215,1584422.08,JPY,NOK,0.071317,2023-06-06 15:32:35,8935.57
118,152,2333070.22,JPY,CAD,0.00894,2023-06-08 02:22:56,12926.5
119,15,10712.93,GBP,EUR,1.175803,2023-06-08 14:28:49,47.47
120,97,5780.29,EUR,PLN,4.327599,2023-06-08 22:16:04,26.05
121,11,1979454.0,JPY,NOK,0.070437,2023-06-09 14:30:17,9334.28
122,91,4032.97,PLN,JPY,37.610394,2023-06-11 06:42:37,18.04
123,317,15238.12,CAD,NOK,7.851841,2023-06-11 12:33:21,72.13
124,12,3137.64,EUR,USD,1.088537,2023-06-12 00:00:13,13.75
125,150,7967.13,CAD,SEK,7.723088,2023-06-12 08:27:08,39.89
126,70,2232165.88,JPY,PLN,0.026444,2023-06-12 14:35:44,9685.06
127,194,36907.98,PLN,JPY,37.605578,2023-06-13 09:56:01,162.45
128,55,23027.72,AUD,CHF,0.581985,2023-06-14 05:19:13,122.45
129,289,3571.17,CAD,AUD,1.113171,2023-06-14 12:46:04,17.46
130,119,8096.22,CAD,JPY,110.735482,2023-06-14 14:56:45,45.72
131,68,23893.85,AUD,SEK,6.895329,2023-06-14 20:20:01,133.36
132,285,9535.67,PLN,EUR,0.230945,2023-06-15 01:45:50,53.04
133,186,54231.66,PLN,CAD,0.338244,2023-06-15 08:57:25,292.1
134,256,22535.66,CAD,JPY,111.316574,2023-06-16 07:29:16,95.82
135,278,2388.36,USD,GBP,0.79078,2023-06-16 19:04:02,12.68
136,111,5760.85,CAD,JPY,111.507107,2023-06-17 10:36:51,31.11
137,95,2377212.36,JPY,SEK,0.069677,2023-06-17 16:05:23,10633.47
138,162,5367.35,CAD,EUR,0.682535,2023-06-17 16:39:43,28.82
139,20,11841.75,CAD,PLN,2.961762,2023-06-17 17:18:43,53.81
140,128,45601.61,PLN,SEK,2.595908,2023-06-18 14:27:17,222.35
141,79,16135.64,AUD,CAD,0.894569,2023-06-18 23:01:04,75.2
142,71,1290678.89,JPY,CAD,0.009041,2023-06-20 18:30:02,6710.59
143,296,15455.48,AUD,CAD,0.898994,2023-06-21 16:43:34,79.87
144,9,10789.91,CHF,CAD,1.54841,2023-06-21 19:18:07,52.33
145,340,12191.37,EUR,GBP,0.851805,2023-06-21 21:55:55,65.1
146,336,788981.55,JPY,EUR,0.006091,2023-06-22 09:20:01,3813.3
147,303,3047.88,AUD,USD,0.658308,2023-06-22 13:09:30,14.78
148,255,12635.01,USD,SEK,10.455652,2023-06-23 22:53:30,57.19
149,119,5292.56,CHF,NOK,12.276975,2023-06-24 10:13:20,28.09
150,88,11609.44,EUR,CAD,1.477712,2023-06-24 10:47:05,50.91
151,1,2293580.56,JPY,PLN,0.026426,2023-06-25 03:44:18,11027.97
152,217,169646.3,JPY,PLN,0.026426,2023-06-25 13:28:56,880.91
153,81,15615.67,CAD,NOK,7.941604,2023-06-25 16:17:36,88.92
154,245,264599.07,JPY,SEK,0.06953,2023-06-25 20:29:14,1367.11
155,164,26421.2,PLN,SEK,2.593032,2023-06-26 00:22:12,132.47
156,217,8225.87,CHF,JPY,172.013728,2023-06-26 12:42:58,37.87
157,214,3495.68,GBP,EUR,1.164896,2023-06-27 02:49:33,18.23
158,337,15189.5,PLN,AUD,0.377793,2023-06-28 17:45:15,73.35
159,116,7958.15,EUR,CAD,1.473368,2023-06-30 13:34:31,37.01
160,324,14182.15,USD,NOK,10.710447,2023-06-30 20:45:07,81.44
161,349,10271.15,EUR,NOK,11.618855,2023-06-30 21:36:25,47.44
162,127,759944.53,JPY,AUD,0.009943,2023-07-01 21:38:54,3918.86
163,69,8222.7,EUR,USD,1.082839,2023-07-02 01:23:32,43.86
164,143,3595.06,USD,CAD,1.358855,2023-07-02 06:20:58,16.35
165,144,9254.45,CHF,PLN,4.57984,2023-07-02 06:52:47,45.19
166,108,11524.03,NOK,PLN,0.371541,2023-07-03 09:31:19,53.07
167,350,10414.02,GBP,CHF,1.114495,2023-07-03 20:47:02,47.49
168,255,2506.55,USD,AUD,1.511519,2023-07-04 11:53:09,14.2
169,260,17619.51,AUD,GBP,0.525114,2023-07-04 14:55:04,91.65
170,324,57144.14,SEK,EUR,0.088298,2023-07-04 19:02:05,296.42
171,351,22360.99,CAD,AUD,1.120767,2023-07-05 23:26:22,112.66
172,332,7260.1,USD,JPY,151.775947,2023-07-06 10:14:16,35.3
173,350,4466.43,CAD,PLN,2.949992,2023-07-06 12:15:03,22.62
174,70,6220.28,GBP,CHF,1.107966,2023-07-06 23:29:09,30.44
175,100,35004.02,PLN,CHF,0.21901,2023-07-07 11:08:14,166.79
176,73,52400.94,NOK,SEK,0.977385,2023-07-08 11:27:28,245.76
177,143,20608.12,PLN,CAD,0.338037,2023-07-08 12:15:51,96.1
178,70,4822.22,EUR,CAD,1.464429,2023-07-09 20:26:17,24.36
179,351,7936.34,AUD,GBP,0.521716,2023-07-10 02:55:44,35.89
180,47,81926.18,NOK,GBP,0.07357,2023-07-10 17:55:18,440.22
181,151,140273.46,SEK,AUD,0.144007,2023-07-11 14:03:11,754.82
182,229,9204.02,USD,GBP,0.791184,2023-07-12 10:24:01,49.31
183,167,1019282.85,JPY,SEK,0.06928,2023-07-12 20:18:43,4962.51
184,140,12832.47,GBP,CHF,1.112965,2023-07-13 15:10:14,60.87
185,315,16220.05,AUD,PLN,2.663563,2023-07-13 17:26:52,74.3
186,70,9350.49,AUD,CHF,0.579518,2023-07-14 01:31:12,48.7
187,38,1435.08,GBP,SEK,13.28033,2023-07-15 13:48:14,8.13
188,99,7225.22,CHF,SEK,11.979201,2023-07-15 14:59:11,34.54
189,3,13713.52,NOK,JPY,14.058035,2023-07-15 16:06:45,62.33
190,165,5614.22,USD,CAD,1.352713,2023-07-16 01:35:06,24.29
191,283,152901.18,SEK,GBP,0.075251,2023-07-16 22:19:05,778.71
192,37,10571.47,USD,PLN,3.995338,2023-07-19 13:43:06,53.25
193,192,421355.6,JPY,NOK,0.070998,2023-07-21 02:55:15,2161.8
194,302,5151.49,AUD,EUR,0.608985,2023-07-21 03:10:10,27.3
195,321,7156.76,EUR,AUD,1.642077,2023-07-21 23:50:09,32.95
196,27,11632.82,GBP,CHF,1.115783,2023-07-22 06:54:11,53.01
197,256,8013.8,PLN,GBP,0.196354,2023-07-22 09:49:33,43.85
198,78,8507.16,EUR,NOK,11.652703,2023-07-23 23:55:49,48.26
199,259,11234.22,PLN,CAD,0.339111,2023-07-24 04:55:33,50.27
200,160,62268.18,PLN,SEK,2.608157,2023-07-24 06:08:12,294.12
201,286,13082.35,AUD,USD,0.661919,2023-07-25 12:11:08,71.5
202,417,21988.11,CAD,USD,0.739208,2023-07-25 19:25:31,95.92
203,26,9427.98,CAD,EUR,0.683077,2023-07-27 00:23:56,41.81
204,419,46806.62,PLN,CHF,0.219167,2023-07-27 04:26:15,242.12
205,347,41071.12,PLN,GBP,0.1977,2023-07-27 14:47:47,219.12
206,401,9853.84,CHF,CAD,1.549877,2023-07-28 12:44:43,42.53
207,59,11549.45,USD,AUD,1.508567,2023-07-28 13:44:49,51.16
208,221,77259.11,NOK,JPY,14.126539,2023-07-29 15:11:50,412.04
209,315,12651.4,EUR,USD,1.086137,2023-07-30 07:07:41,57.27
210,133,21210.59,AUD,SEK,6.923283,2023-07-30 07:38:43,104.04
211,363,284548.17,JPY,AUD,0.010069,2023-07-30 20:03:03,1575.11
212,189,40803.68,NOK,PLN,0.376149,2023-07-31 13:10:22,216.81
213,9,65499.03,SEK,NOK,1.018264,2023-08-01 04:58:02,340.91
214,105,13968.46,AUD,PLN,2.675824,2023-08-01 19:55:12,67.63
215,404,2845.47,PLN,EUR,0.229158,2023-08-02 12:52:35,12.95
216,224,14895.69,CAD,SEK,7.690239,2023-08-02 13:04:24,67.39
217,365,18696.51,CAD,GBP,0.578855,2023-08-02 22:59:03,83.21
218,100,9691.0,EUR,CAD,1.473327,2023-08-04 00:04:27,54.33
219,405,6486.8,GBP,JPY,191.512223,2023-08-04 07:44:53,30.58
220,78,59129.37,PLN,JPY,37.666068,2023-08-05 00:55:17,321.7
221,58,4943.87,CHF,NOK,12.172342,2023-08-05 16:57:01,21.89
222,329,8837.6,AUD,CHF,0.580101,2023-08-05 19:56:08,42.91
223,306,7388.03,CAD,JPY,111.34226,2023-08-05 20:52:33,35.56
224,424,3975.22,EUR,NOK,11.681015,2023-08-06 00:21:40,20.16
225,244,25297.5,AUD,SEK,6.936995,2023-08-06 06:54:17,143.18
226,77,22788.0,AUD,NOK,7.082601,2023-08-07 05:50:00,110.57
227,344,21676.69,AUD,NOK,7.082601,2023-08-07 07:01:46,96.34
228,212,14638.57,CAD,EUR,0.682668,2023-08-07 09:13:41,72.69
229,18,6485.83,CAD,GBP,0.580781,2023-08-07 09:39:31,29.83
230,222,6831.46,EUR,SEK,11.323618,2023-08-07 18:06:36,35.92
231,358,13851.13,AUD,CAD,0.902443,2023-08-08 16:44:10,68.55
232,7,16403.08,CAD,CHF,0.642722,2023-08-09 00:25:14,83.92
233,209,11887.55,EUR,PLN,4.367308,2023-08-10 08:26:19,64.44
234,226,128322.72,NOK,EUR,0.085885,2023-08-11 02:16:37,665.39
235,208,854053.5,JPY,CAD,0.008898,2023-08-11 09:32:12,4762.1
236,31,7200.4,EUR,CHF,0.94841,2023-08-12 17:25:46,30.97
237,83,1853.39,CHF,CAD,1.535106,2023-08-13 10:24:37,9.06
238,67,13140.45,USD,GBP,0.791094,2023-08-14 10:18:13,74.43
239,386,1218344.49,JPY,CHF,0.005772,2023-08-14 11:31:57,5194.23
240,132,6588.16,GBP,JPY,192.072685,2023-08-14 11:50:52,33.19
241,278,13777.41,USD,GBP,0.791094,2023-08-14 16:42:05,63.62
242,296,999.81,EUR,JPY,164.473684,2023-08-15 01:10:05,4.36
243,287,1082699.34,JPY,EUR,0.00608,2023-08-15 08:03:16,4956.12
244,3,8704.1,EUR,CAD,1.46427,2023-08-16 13:38:21,39.65
245,430,6049.15,USD,JPY,151.035784,2023-08-17 10:54:18,29.27
246,7,17287.26,AUD,CHF,0.581053,2023-08-17 11:13:38,99.02
247,166,3937.86,EUR,GBP,0.853277,2023-08-17 17:17:15,19.12
248,46,35418.01,SEK,AUD,0.143992,2023-08-18 04:10:12,175.78
249,238,66555.67,PLN,AUD,0.376692,2023-08-18 21:04:44,315.35
250,360,24027.74,AUD,EUR,0.611487,2023-08-19 19:26:17,126.14
251,451,7601.21,USD,AUD,1.510904,2023-08-19 20:34:08,41.76
252,41,457742.86,JPY,SEK,0.069195,2023-08-21 22:58:19,2110.66
253,305,306313.07,JPY,NOK,0.070469,2023-08-22 21:16:54,1700.36
254,324,9092.08,CHF,JPY,171.296957,2023-08-23 00:57:23,46.36
255,348,2588.03,CAD,AUD,1.113543,2023-08-23 02:43:09,12.31
256,413,19830.94,CAD,AUD,1.113543,2023-08-23 06:06:27,90.12
257,114,9694.26,EUR,GBP,0.855884,2023-08-23 08:36:27,43.03
258,161,2244.67,USD,JPY,149.957134,2023-08-23 19:52:54,12.81
259,350,2856.34,GBP,SEK,13.3196,2023-08-23 21:39:10,13.98
260,447,4466.76,GBP,EUR,1.169,2023-08-24 07:46:03,22.59
261,371,14163.13,CHF,AUD,1.72987,2023-08-24 09:09:14,61.47
262,121,3489.55,EUR,NOK,11.616156,2023-08-25 12:11:03,17.83
263,118,5521.0,AUD,NOK,7.066867,2023-08-26 15:23:35,29.76
264,316,69449.61,NOK,PLN,0.374695,2023-08-28 14:05:52,334.54
265,497,44211.96,SEK,JPY,14.464004,2023-08-29 06:23:20,224.5
266,104,2343444.07,JPY,AUD,0.009981,2023-08-29 06:37:54,10514.49
267,28,8798.23,CAD,SEK,7.700553,2023-08-29 13:54:13,39.75
268,254,2644.17,CHF,AUD,1.708534,2023-08-30 08:01:56,11.35
269,442,158688.45,NOK,EUR,0.085883,2023-08-30 13:15:04,814.6
270,56,2991.46,EUR,GBP,0.853258,2023-08-30 23:28:55,16.22
271,266,889515.1,JPY,CAD,0.008965,2023-08-31 08:13:20,4954.02
272,422,2162127.85,JPY,SEK,0.069524,2023-08-31 12:55:22,9218.01
273,342,3027.44,EUR,NOK,11.61845,2023-09-01 08:09:45,14.72
274,40,10147.24,USD,NOK,10.719205,2023-09-01 12:44:19,54.45
275,367,1532.01,CHF,NOK,12.170512,2023-09-01 18:50:32,7.38
276,133,12875.37,GBP,CHF,1.117587,2023-09-01 21:12:23,56.95
277,402,87880.15,NOK,SEK,0.976426,2023-09-01 22:53:04,504.37
278,370,1385746.47,JPY,GBP,0.005228,2023-09-02 20:04:29,6316.35
279,512,20845.19,AUD,GBP,0.52133,2023-09-02 20:46:32,101.06
280,205,12482.11,USD,GBP,0.784029,2023-09-03 01:44:25,70.4
281,420,21248.8,AUD,PLN,2.670144,2023-09-03 17:23:03,102.91
282,157,140624.19,SEK,GBP,0.075017,2023-09-03 19:02:25,679.68
283,347,10714.26,EUR,CAD,1.471638,2023-09-04 04:05:37,51.12
284,346,25209.37,AUD,CAD,0.898854,2023-09-04 12:41:27,113.78
285,240,123410.77,SEK,EUR,0.088035,2023-09-05 03:37:11,609.66
286,124,4415.97,PLN,NOK,2.665181,2023-09-05 16:08:10,20.08
287,180,11873.23,USD,AUD,1.505823,2023-09-05 18:59:59,67.54
288,401,4744.63,EUR,JPY,164.581962,2023-09-06 14:15:28,23.61
289,282,4319.64,GBP,EUR,1.164628,2023-09-06 15:29:17,18.42
290,119,14127.24,CHF,AUD,1.707748,2023-09-07 06:23:03,70.38
291,414,6746.27,CAD,AUD,1.107771,2023-09-07 20:19:34,31.4
292,379,19255.43,AUD,PLN,2.674636,2023-09-07 23:33:20,87.42
293,131,60909.2,PLN,SEK,2.615239,2023-09-09 04:24:33,312.92
294,194,9489.72,CHF,SEK,11.911619,2023-09-09 07:18:42,51.12
295,173,860.94,CAD,AUD,1.116379,2023-09-09 10:43:31,3.7
296,358,32432.22,PLN,AUD,0.376728,2023-09-09 15:45:08,184.78
297,353,1465199.85,JPY,EUR,0.00613,2023-09-09 20:54:37,7828.2
298,389,9773.72,GBP,SEK,13.295681,2023-09-10 01:37:54,47.84
299,225,2091.71,USD,CAD,1.356782,2023-09-10 09:47:50,11.6
300,178,947.25,CAD,JPY,111.688154,2023-09-11 07:41:19,5.12
301,3,14146.42,EUR,PLN,4.328967,2023-09-11 20:03:12,61.45
302,117,40271.94,NOK,PLN,0.373694,2023-09-11 21:38:26,214.98
303,324,2514.11,GBP,CAD,1.719407,2023-09-12 08:51:16,12.9
304,75,17117.43,SEK,CAD,0.129115,2023-09-12 09:26:07,84.86
305,348,7543.15,GBP,CHF,1.11362,2023-09-12 16:00:11,37.82
306,320,21753.53,AUD,JPY,100.312459,2023-09-13 17:09:58,121.98
307,260,11711.83,EUR,JPY,163.345312,2023-09-14 19:41:21,62.63
308,107,1951.3,GBP,EUR,1.17344,2023-09-15 10:45:19,9.5
309,16,10986.93,EUR,CHF,0.94885,2023-09-15 11:02:26,53.75
310,103,11153.15,EUR,AUD,1.643791,2023-09-15 17:22:07,55.6
311,376,10322.3,GBP,PLN,5.130168,2023-09-16 13:41:24,50.38
312,197,8925.09,CAD,GBP,0.579042,2023-09-16 20:24:54,45.79
313,421,14485.3,CHF,GBP,0.895099,2023-09-17 02:25:46,77.74
314,116,3475.63,GBP,USD,1.274316,2023-09-17 11:38:29,18.53
315,126,132100.7,SEK,CAD,0.129246,2023-09-17 14:15:53,609.82
316,121,10838.65,USD,PLN,3.970847,2023-09-17 16:34:26,53.12
317,255,172824.99,SEK,CAD,0.129913,2023-09-18 04:40:11,766.81
318,317,1339.6,CAD,GBP,0.584188,2023-09-18 08:21:19,7.19
319,220,1607454.18,JPY,CHF,0.005822,2023-09-18 14:53:49,7306.5
320,330,30919.23,SEK,EUR,0.088391,2023-09-18 19:32:45,134.52
321,156,8175.74,GBP,CHF,1.114478,2023-09-18 20:44:02,37.52
322,358,1651.2,USD,PLN,4.002755,2023-09-18 22:04:46,7.19
323,551,20444.77,CAD,PLN,2.982757,2023-09-19 14:09:18,109.29
324,437,18441.92,PLN,SEK,2.595766,2023-09-19 18:16:25,98.96
325,322,11071.3,GBP,NOK,13.5853,2023-09-19 22:58:58,49.07
326,438,2318298.35,JPY,EUR,0.006109,2023-09-19 23:24:58,11260.29
327,215,7545.96,CAD,JPY,111.17549,2023-09-20 10:33:15,35.85
328,435,12871.36,USD,GBP,0.785826,2023-09-21 11:07:21,70.73
329,216,95181.61,SEK,USD,0.096158,2023-09-21 13:03:05,428.7
330,383,7665.69,CHF,CAD,1.53837,2023-09-21 23:18:23,33.57
331,162,172842.3,SEK,NOK,1.029245,2023-09-21 23:32:47,978.03
332,445,3047.65,USD,EUR,0.920931,2023-09-22 08:34:42,13.13
333,225,2418.94,CHF,AUD,1.729728,2023-09-22 12:48:16,12.47
334,27,86807.15,SEK,CAD,0.128906,2023-09-22 21:52:00,397.24
335,475,32834.4,SEK,CHF,0.083944,2023-09-23 04:25:46,187.93
336,5,3958.8,EUR,USD,1.088678,2023-09-24 16:28:21,21.39
337,103,13551.68,USD,CAD,1.347295,2023-09-25 06:01:53,60.55
338,517,12029.01,CAD,JPY,112.100329,2023-09-25 08:50:08,64.87
339,277,14367.25,EUR,AUD,1.633725,2023-09-25 10:08:39,75.05
340,287,76791.14,NOK,AUD,0.140576,2023-09-25 10:36:14,424.0
341,49,11719.76,NOK,SEK,0.978819,2023-09-25 12:58:20,59.67
342,346,13129.33,CHF,GBP,0.901537,2023-09-25 19:45:12,56.83
343,403,4433.5,AUD,NOK,7.094206,2023-09-26 19:52:04,19.17
344,200,12161.12,EUR,USD,1.084978,2023-09-26 23:08:42,59.86
345,253,4316.61,GBP,PLN,5.089084,2023-09-27 02:56:42,22.93
346,308,10785.73,CHF,AUD,1.710251,2023-09-27 08:45:08,47.14
347,405,124027.91,NOK,PLN,0.373341,2023-09-28 19:05:20,554.37
348,59,1831191.91,JPY,PLN,0.026406,2023-09-28 19:48:45,9043.19
349,543,4761.96,GBP,SEK,13.313339,2023-09-28 20:25:06,21.03
350,550,1198.94,EUR,SEK,11.347775,2023-09-29 07:09:53,5.73
351,476,9938.92,PLN,SEK,2.602919,2023-09-29 23:25:22,56.97
352,205,13306.66,AUD,GBP,0.520551,2023-09-30 03:57:53,74.48
353,216,2053053.28,JPY,EUR,0.00611,2023-09-30 19:08:35,11619.4
354,439,5419.39,CHF,EUR,1.048668,2023-10-01 04:44:19,26.09
355,556,9688.94,CHF,SEK,11.918713,2023-10-01 06:42:39,47.33
356,390,1672.47,USD,NOK,10.756515,2023-10-01 13:45:53,8.5
357,393,9686.64,EUR,JPY,163.719712,2023-10-01 18:47:58,49.92
